area,row,col,x,y
2,5,22,796.7,853.0
2,5,21,814.3,853.0
2,5,20,831.9,853.0
2,5,19,849.4,853.0
2,5,18,867.0,853.0
2,5,17,884.6,853.0
2,5,16,902.2,853.0
2,5,15,919.8,853.0
2,5,14,937.4,853.0
2,5,13,955.0,853.0
2,5,12,972.6,853.0
2,5,11,990.1,853.0
2,5,10,1007.7,853.0
2,5,9,1025.3,853.0
2,5,8,1042.9,853.0
2,5,7,1060.5,853.0
2,5,6,1078.1,853.0
2,5,5,1095.7,853.0
2,5,4,1113.2,853.0
2,5,3,1130.8,853.0
2,5,2,1148.4,853.0
2,5,1,1166.0,853.0
2,6,30,656.0,830.0
2,6,29,673.6,830.0
2,6,28,691.2,830.0
2,6,27,708.8,830.0
2,6,26,726.3,830.0
2,6,25,743.9,830.0
2,6,24,761.5,830.0
2,6,23,779.1,830.0
2,6,22,796.7,830.0
2,6,21,814.3,830.0
2,6,20,831.9,830.0
2,6,19,849.4,830.0
2,6,18,867.0,830.0
2,6,17,884.6,830.0
2,6,16,902.2,830.0
2,6,15,919.8,830.0
2,6,14,937.4,830.0
2,6,13,955.0,830.0
2,6,12,972.6,830.0
2,6,11,990.1,830.0
2,6,10,1007.7,830.0
2,6,9,1025.3,830.0
2,6,8,1042.9,830.0
2,6,7,1060.5,830.0
2,6,6,1078.1,830.0
2,6,5,1095.7,830.0
2,6,4,1113.2,830.0
2,6,3,1130.8,830.0
2,6,2,1148.4,830.0
2,6,1,1166.0,830.0
2,7,30,656.0,807.0
2,7,29,673.6,807.0
2,7,28,691.2,807.0
2,7,27,708.8,807.0
2,7,26,726.3,807.0
2,7,25,743.9,807.0
2,7,24,761.5,807.0
2,7,23,779.1,807.0
2,7,22,796.7,807.0
2,7,21,814.3,807.0
2,7,20,831.9,807.0
2,7,19,849.4,807.0
2,7,18,867.0,807.0
2,7,17,884.6,807.0
2,7,16,902.2,807.0
2,7,15,919.8,807.0
2,7,14,937.4,807.0
2,7,13,955.0,807.0
2,7,12,972.6,807.0
2,7,11,990.1,807.0
2,7,10,1007.7,807.0
2,7,9,1025.3,807.0
2,7,8,1042.9,807.0
2,7,7,1060.5,807.0
2,7,6,1078.1,807.0
2,7,5,1095.7,807.0
2,7,4,1113.2,807.0
2,7,3,1130.8,807.0
2,7,2,1148.4,807.0
2,7,1,1166.0,807.0
2,8,30,656.0,761.0
2,8,29,673.6,761.0
2,8,28,691.2,761.0
2,8,27,708.8,761.0
2,8,26,726.3,761.0
2,8,25,743.9,761.0
2,8,24,761.5,761.0
2,8,23,779.1,761.0
2,8,22,796.7,761.0
2,8,21,814.3,761.0
2,8,20,831.9,761.0
2,8,19,849.4,761.0
2,8,18,867.0,761.0
2,8,17,884.6,761.0
2,8,16,902.2,761.0
2,8,15,919.8,761.0
2,8,14,937.4,761.0
2,8,13,955.0,761.0
2,8,12,972.6,761.0
2,8,11,990.1,761.0
2,8,10,1007.7,761.0
2,8,9,1025.3,761.0
2,8,8,1042.9,761.0
2,8,7,1060.5,761.0
2,8,6,1078.1,761.0
2,8,5,1095.7,761.0
2,8,4,1113.2,761.0
2,8,3,1130.8,761.0
